,Player,Tm,Pos,Age,Fumbles,FantasyPoints,TDs,YDs,Touches
320,Duke Williams,BUF,WR,26,0,34.6,1,166,12
321,Justin Jackson,LAC,RB,24,0,31.2,0,222,38
322,Zay Jones,2TM,WR,24,0,48.9,0,219,28
323,Marcedes Lewis,GNB,TE,35,0,36.6,1,156,15
324,Tim Patrick,DEN,WR,26,0,37.8,0,218,16
325,Ross Dwelley,SFO,TE,24,0,36.1,2,91,15
326,Jaeden Graham,ATL,TE,24,0,29.9,1,149,9
327,C.J. Ham,MIN,RB,26,1,37.6,1,166,24
328,Brian Hoyer,IND,QB,34,2,21.08,4,374,73
329,Kalif Raymond,TEN,WR,25,1,29.5,1,165,10
330,Parris Campbell,IND,WR,22,3,38.1,1,161,22
331,Derek Carrier,OAK,TE,29,0,32.5,1,135,14
332,Trevor Davis,3TM,WR,26,3,28.4,1,184,12
333,Justin Hardy,ATL,WR,28,0,38.5,0,195,19
334,Richie James,SFO,WR,24,1,26.4,1,164,8
335,Ian Thomas,CAR,TE,23,0,35.6,1,136,16
336,Matt LaCosse,NWE,TE,27,0,32.1,1,131,13
337,Ty Montgomery,NYJ,RB,26,0,32.3,0,193,45
338,C.J. Prosise,SEA,RB,25,1,28.8,1,148,33
339,Vernon Davis,WAS,TE,35,0,28.3,1,123,10
340,Darrell Henderson,LAR,RB,22,0,22.4,0,184,43
341,Dontrelle Inman,2TM,WR,30,0,30.1,0,181,12
342,Josh Rosen,MIA,QB,22,1,17.98,1,580,112
343,Jeff Heuerman,DEN,TE,27,0,31.4,1,114,14
344,Travis Homer,SEA,RB,21,0,28.0,0,170,29
345,Ryan Izzo,NWE,TE,24,0,23.4,1,114,6
346,A.J. McCarron,HOU,QB,29,0,16.9,1,264,42
347,Cam Newton,CAR,QB,30,2,16.68,0,570,94
348,Nick O'Leary,2TM,TE,27,1,29.9,1,109,13
349,Devin Smith,DAL,WR,27,0,22.3,1,113,5
350,Nick Vannett,2TM,TE,26,0,33.6,0,166,17
351,Ben Watson,NWE,TE,39,0,34.3,0,173,17
352,T.J. Yeldon,BUF,RB,26,1,29.7,0,187,30
353,Andrew Beck,DEN,RB,23,0,24.54,1,99,11
354,Robert Griffin,BAL,QB,29,0,16.0,1,295,58
355,Hale Hentges,WAS,TE,23,0,24.3,1,103,8
356,Robert Tonyan,GNB,TE,25,0,26.0,1,100,10
357,Joshua Perkins,PHI,TE,26,0,23.7,1,87,9
358,MyCole Pruitt,TEN,TE,27,0,21.0,1,90,6
359,Wendell Smallwood,WAS,RB,25,0,23.5,0,145,31
360,DeAndre Carter,HOU,WR,26,2,25.2,0,162,11
361,Seth Devalve,JAX,TE,26,0,26.0,0,140,12
362,Trey Edmunds,PIT,RB,25,0,20.0,0,140,28
363,Virgil Green,LAC,TE,31,0,22.8,1,78,9
364,Wes Hills,DET,RB,24,0,16.2,2,22,12
365,Jesse James,DET,TE,25,0,30.2,0,142,16
366,Daniel Brown,NYJ,TE,27,0,20.2,1,72,7
367,Keelan Doss,OAK,WR,23,0,24.3,0,133,11
368,Rico Gafford,OAK,WR,23,0,14.6,1,66,2
369,Mack Hollins,2TM,WR,26,0,22.5,0,125,10
370,Jesper Horsted,CHI,TE,22,1,20.7,1,87,8
371,Tyler Kroft,BUF,TE,27,0,19.1,1,71,6
372,Ben Roethlisberger,PIT,QB,37,1,12.74,0,358,63
373,Kerrith Whyte,PIT,RB,23,0,14.1,0,131,25
374,Ben Braunecker,CHI,TE,25,0,17.9,1,59,6
375,Antonio Brown,NWE,WR,31,0,16.1,1,61,5
376,Deon Cain,2TM,WR,23,0,21.4,0,124,9
377,Rashard Higgins,CLE,WR,25,0,15.5,1,55,4
378,Alec Ingold,OAK,RB,23,0,18.1,1,61,16
379,Javorius Allen,NYG,RB,28,0,11.5,1,45,11
380,Stephen Carlson,CLE,TE,23,0,16.1,1,51,5
381,Darren Sproles,PHI,RB,36,1,15.0,0,90,23
382,Tommy Sweeney,BUF,TE,24,0,19.4,0,114,8
383,Brandon Zylstra,CAR,WR,26,1,18.6,0,106,8
384,Marcell Ateman,OAK,WR,25,1,14.6,0,116,5
385,Braxton Berrios,NYJ,WR,24,1,15.5,0,115,6
386,Troy Fumagalli,DEN,TE,24,0,15.8,1,38,6
387,Deonte Harris,NOR,WR,22,3,9.5,0,55,10
388,Andy Janovich,DEN,RB,26,0,15.3,1,43,6
389,T.J. Jones,NYG,WR,27,3,12.8,1,38,3
390,JJ Nelson,OAK,WR,27,0,13.6,1,36,4
391,David Njoku,CLE,TE,23,0,15.1,1,41,5
392,Danny Vitale,GNB,RB,26,0,17.0,0,100,8
393,Derek Watt,LAC,RB,27,0,13.2,1,42,10
394,Mo Alie-Cox,IND,TE,26,0,17.3,0,93,8
395,Kenjon Barner,ATL,RB,29,4,9.12,0,53,11
396,Christian Blake,ATL,WR,23,0,20.1,0,91,11
397,Antonio Callaway,CLE,WR,22,0,16.9,0,89,8
398,Luke Falk,NYJ,QB,25,2,8.64,0,416,73
399,Robert Foster,BUF,WR,25,0,12.3,0,93,5
400,J.P. Holtz,2TM,TE,26,0,16.1,0,91,7
401,D'Ernest Johnson,CLE,RB,23,0,15.2,0,92,10
402,Marshawn Lynch,SEA,RB,33,0,9.4,1,34,12
403,Lee Smith,BUF,TE,32,0,13.1,1,31,4
404,Alex Armah,CAR,RB,25,0,9.7,1,17,8
405,Nick Bellore,SEA,RB,30,0,10.3,1,23,2
406,Ventell Bryant,DAL,WR,23,0,8.5,1,15,1
407,Trey Burton,CHI,TE,28,0,22.4,0,84,14
408,KhaDarel Hodge,CLE,WR,24,0,11.6,0,76,4
409,Trent Sherfield,ARI,WR,23,0,12.0,0,80,4
410,Damion Willis,CIN,WR,22,0,17.2,0,82,9
411,Luke Willson,SEA,TE,29,0,15.9,0,79,8
412,Chad Beebe,MIN,WR,25,3,9.0,0,70,2
413,Blake Bell,KAN,TE,28,0,14.7,0,67,8
414,Devontae Booker,DEN,RB,27,0,12.6,0,66,8
415,Tra Carson,2TM,RB,27,0,10.6,0,66,22
416,Cethan Carter,CIN,RB,24,0,9.3,1,13,2
417,Chris Hogan,CAR,WR,32,0,14.7,0,67,8
418,Troymaine Pope,LAC,RB,26,1,9.4,1,34,12
419,Riley Ridley,CHI,WR,23,0,12.9,0,69,6
420,Adam Shaheen,CHI,TE,25,1,14.4,0,74,9
421,Durham Smythe,MIA,TE,24,0,13.5,0,65,7
422,Geoff Swaim,JAX,TE,26,0,19.5,0,65,13
423,Spencer Ware,KAN,RB,28,1,12.3,0,73,22
424,Dwayne Washington,NOR,RB,25,0,7.6,0,66,9
425,Matt Barkley,BUF,QB,29,3,5.96,0,355,53
426,Tyler Conklin,MIN,TE,24,0,13.8,0,58,8
427,Brett Hundley,ARI,QB,26,0,6.06,0,90,18
428,Tevin Jones,PIT,WR,27,0,10.1,0,61,4
429,Chris Lacy,DET,WR,23,0,9.0,0,60,3
430,Zach Line,NOR,RB,29,0,11.6,0,56,13
431,Andre Patton,LAC,WR,25,0,11.6,0,56,6
432,Tyrod Taylor,LAC,QB,30,0,6.02,1,40,16
433,Clive Walford,MIA,TE,28,0,10.1,0,61,4
434,Khari Blasingame,TEN,RB,23,0,9.4,0,54,4
