,Player,Tm,Pos,Age,Fumbles,FantasyPoints,TDs,YDs,Touches,PredictedPoints,+/-
160,Jacquizz Rodgers,TAM,RB,28.0,1.0,83.0,1.0,410.0,71.0,80.52354897923436,True
161,Marcus Murphy,BUF,RB,27.0,1.0,38.6,0.0,276.0,63.0,69.49005490988911,False
162,Miles Boykin,BAL,WR,23.0,0.0,50.8,3.0,198.0,13.0,93.11247256031405,False
163,Blaine Gabbert,TEN,QB,29.0,0.0,33.04,4.0,626.0,107.0,100.96322573143054,False
164,Marcus Mariota,TEN,QB,26.0,3.0,85.02,7.0,1332.0,184.0,138.71118430973365,False
165,Adam Thielen,MIN,WR,27.0,3.0,239.7,4.0,1287.0,92.0,139.84791356713106,True
166,Allen Robinson,CHI,WR,26.0,0.0,254.9,7.0,1149.0,99.0,147.64614664792947,True
167,Duke Johnson,HOU,RB,26.0,1.0,154.0,5.0,820.0,127.0,112.57380356293308,True
168,Mark Ingram,NOR,RB,29.0,3.0,142.5,7.0,815.0,159.0,116.41440381558577,True
169,Matt Ryan,ATL,QB,34.0,9.0,265.34,27.0,4613.0,650.0,324.1048354384825,False
170,Wes Hills,DET,RB,24.0,0.0,16.2,2.0,22.0,12.0,78.27204373521192,False
171,Julio Jones,ATL,WR,29.0,2.0,325.9,8.0,1689.0,115.0,178.75975937898465,True
172,Matt Ryan,ATL,QB,32.0,4.0,228.1,20.0,4238.0,561.0,284.4589386831565,False
173,Chris Carson,SEA,RB,23.0,0.0,39.7,1.0,267.0,56.0,76.14294034635975,False
174,Golden Tate,NYG,WR,31.0,1.0,152.2,6.0,692.0,50.0,128.29106790453204,True
175,Robby Anderson,NYJ,WR,25.0,2.0,156.39999999999995,6.0,744.0,52.0,130.64737595902113,True
176,Chris Thompson,WAS,RB,27.0,3.0,151.4,6.0,804.0,103.0,122.60653317782624,True
177,Lamar Miller,HOU,RB,27.0,1.0,172.6,6.0,1136.0,235.0,111.30393560422726,True
178,Sony Michel,NWE,RB,23.0,1.0,139.1,6.0,981.0,216.0,107.16146617967411,True
179,Alfred Morris,DAL,RB,29.0,0.0,72.2,1.0,592.0,122.0,79.04783824924117,False
180,Wendell Smallwood,PHI,RB,24.0,2.0,115.4,5.0,594.0,115.0,103.06383520651775,True
181,Taysom Hill,NOR,QB,28.0,1.0,33.56,2.0,264.0,47.0,83.56064608055195,False
182,Adam Humphries,TAM,WR,25.0,2.0,188.7,5.0,827.0,78.0,123.77814276556809,True
183,Jacquizz Rodgers,TAM,RB,27.0,0.0,46.8,1.0,318.0,73.0,75.13084871099358,False
184,Andy Dalton,CIN,QB,31.0,1.0,174.54,21.0,2665.0,381.0,245.1772219819416,False
185,Russell Gage,ATL,WR,23.0,1.0,98.8,1.0,458.0,53.0,87.08405631194789,True
186,Blake Jarwin,DAL,TE,24.0,0.0,75.7,3.0,307.0,27.0,95.88442670357021,False
187,Jimmy Garoppolo,SFO,QB,27.0,4.0,46.02,5.0,751.0,97.0,115.4899113390754,False
188,JuJu Smith-Schuster,PIT,WR,22.0,1.0,294.9000000000001,7.0,1439.0,112.0,160.37914622786528,True
189,Aaron Jones,GNB,RB,25.0,3.0,314.8,19.0,1558.0,285.0,195.63929588943577,True
190,Jaron Brown,SEA,WR,28.0,0.0,60.6,5.0,166.0,14.0,102.35028049204251,False
191,DeAndre Hopkins,HOU,WR,27.0,0.0,266.54,8.0,1189.0,108.0,153.400287808911,True
192,Marcus Mariota,TEN,QB,24.0,2.0,210.48,18.0,3544.0,513.0,246.53892013811497,False
193,Jimmy Graham,SEA,TE,31.0,0.0,169.0,10.0,520.0,57.0,139.85006514858873,True
194,Tre'Quan Smith,NOR,WR,22.0,0.0,100.7,5.0,427.0,28.0,113.30174342040243,False
195,Carson Wentz,PHI,QB,26.0,9.0,191.66,21.0,3171.0,436.0,260.25289007620836,False
196,Elijhaa Penny,ARI,RB,24.0,0.0,32.2,2.0,162.0,35.0,80.72343489093178,False
197,Teddy Bridgewater,NOR,QB,27.0,1.0,90.46,9.0,1415.0,224.0,145.5195098447345,False
198,Odell Beckham,NYG,WR,26.0,2.0,230.34,8.0,1177.0,84.0,158.05787652664384,True
199,Rhett Ellison,NYG,TE,29.0,0.0,59.5,2.0,235.0,24.0,87.0824488402697,False
200,Carlos Hyde,HOU,RB,29.0,4.0,153.2,6.0,1112.0,255.0,105.59298470769426,True
201,Demarcus Robinson,KAN,WR,24.0,0.0,74.8,4.0,288.0,22.0,101.55724161113237,False
